pais,anio,mes,marca,unid_acum,unid_mes
Chile,2025,4,Alfa Romeo,,9
Chile,2025,4,Audi,,70
Chile,2025,4,Baic,,4
Chile,2025,4,Bmw,,212
Chile,2025,4,Byd,,107
Chile,2025,4,Changan,,931
Chile,2025,4,Chery,,715
Chile,2025,4,Chevrolet,,1344
Chile,2025,4,Citroen,,649
Chile,2025,4,Cupra,,44
Chile,2025,4,Dfm,,173
Chile,2025,4,Dfsk,,253
Chile,2025,4,Dongfeng,,152
Chile,2025,4,Ds,,9
Chile,2025,4,Exeed,,28
Chile,2025,4,Fiat,,53
Chile,2025,4,Ford,,1541
Chile,2025,4,Foton,,566
Chile,2025,4,Gac,,201
Chile,2025,4,Geely,,217
Chile,2025,4,Great Wall,,1123
Chile,2025,4,Haval,,132
Chile,2025,4,Honda,,125
Chile,2025,4,Hyundai,,1730
Chile,2025,4,Iveco,,7
Chile,2025,4,Jac,,468
Chile,2025,4,Jaecoo,,85
Chile,2025,4,Jeep,,159
Chile,2025,4,Jetour,,302
Chile,2025,4,Jim,,31
Chile,2025,4,Jmc,,278
Chile,2025,4,Kaiyi,,59
Chile,2025,4,Karry,,31
Chile,2025,4,Kia,,1610
Chile,2025,4,Kyc,,77
Chile,2025,4,Land Rover,,26
Chile,2025,4,Landking,,32
Chile,2025,4,Lexus,,25
Chile,2025,4,Livan,,4
Chile,2025,4,Lynk Co,,25
Chile,2025,4,Mahindra,,97
Chile,2025,4,Maxus,,915
Chile,2025,4,Mazda,,723
Chile,2025,4,Mercedes Benz,,222
Chile,2025,4,Mg,,641
Chile,2025,4,Mini,,48
Chile,2025,4,Mitsubishi,,1141
Chile,2025,4,Nammi,,76
Chile,2025,4,Nissan,,549
Chile,2025,4,Omoda,,369
Chile,2025,4,Opel,,360
Chile,2025,4,Peugeot,,1321
Chile,2025,4,Porsche,,26
Chile,2025,4,Ram,,317
Chile,2025,4,Renault,,55
Chile,2025,4,Riddara,,3
Chile,2025,4,Seat,,6
Chile,2025,4,Shineray,,28
Chile,2025,4,Skoda,,23
Chile,2025,4,Smart,,11
Chile,2025,4,Ssangyong,,235
Chile,2025,4,Subaru,,595
Chile,2025,4,Suzuki,,2016
Chile,2025,4,Swm,,35
Chile,2025,4,Tesla,,53
Chile,2025,4,Toyota,,2474
Chile,2025,4,Volkswagen,,549
Chile,2025,4,Volvo,,86
Chile,2025,4,Zna,,9
Chile,2025,4,Zx Auto,,22
Chile,2025,5,Alfa Romeo,,5
Chile,2025,5,Audi,,72
Chile,2025,5,Baic,,2
Chile,2025,5,Baw,,1
Chile,2025,5,Bmw,,186
Chile,2025,5,Byd,,148
Chile,2025,5,Changan,,817
Chile,2025,5,Chery,,784
Chile,2025,5,Chevrolet,,1602
Chile,2025,5,Citroen,,663
Chile,2025,5,Cupra,,57
Chile,2025,5,Dfm,,196
Chile,2025,5,Dfsk,,241
Chile,2025,5,Dodge,,2
Chile,2025,5,Dongfeng,,53
Chile,2025,5,Ds,,13
Chile,2025,5,Exeed,,35
Chile,2025,5,Fiat,,30
Chile,2025,5,Ford,,1299
Chile,2025,5,Foton,,461
Chile,2025,5,Gac,,160
Chile,2025,5,Geely,,317
Chile,2025,5,Great Wall,,1141
Chile,2025,5,Haval,,117
Chile,2025,5,Honda,,152
Chile,2025,5,Hyundai,,1489
Chile,2025,5,Iveco,,3
Chile,2025,5,Jac,,469
Chile,2025,5,Jaecoo,,102
Chile,2025,5,Jeep,,359
Chile,2025,5,Jetour,,294
Chile,2025,5,Jim,,31
Chile,2025,5,Jmc,,236
Chile,2025,5,Kaiyi,,116
Chile,2025,5,Karry,,22
Chile,2025,5,Kia,,1408
Chile,2025,5,Kyc,,53
Chile,2025,5,Land Rover,,31
Chile,2025,5,Landking,,31
Chile,2025,5,Lexus,,30
Chile,2025,5,Lynk Co,,11
Chile,2025,5,Mahindra,,99
Chile,2025,5,Maxus,,524
Chile,2025,5,Mazda,,750
Chile,2025,5,Mercedes Benz,,232
Chile,2025,5,Mg,,640
Chile,2025,5,Mini,,40
Chile,2025,5,Mitsubishi,,753
Chile,2025,5,Nissan,,554
Chile,2025,5,Omoda,,455
Chile,2025,5,Opel,,314
Chile,2025,5,Peugeot,,1415
Chile,2025,5,Porsche,,15
Chile,2025,5,Ram,,391
Chile,2025,5,Renault,,45
Chile,2025,5,Riddara,,10
Chile,2025,5,Seat,,8
Chile,2025,5,Shineray,,35
Chile,2025,5,Skoda,,30
Chile,2025,5,Smart,,10
Chile,2025,5,Ssangyong,,225
Chile,2025,5,Subaru,,547
Chile,2025,5,Suzuki,,1841
Chile,2025,5,Swm,,21
Chile,2025,5,Tesla,,143
Chile,2025,5,Toyota,,1850
Chile,2025,5,Volkswagen,,394
Chile,2025,5,Volvo,,99
Chile,2025,5,Zna,,16
Chile,2025,5,Zx Auto,,14
Chile,2025,6,Alfa Romeo,,5
Chile,2025,6,Audi,,78
Chile,2025,6,Baic,,1
Chile,2025,6,Bmw,,208
Chile,2025,6,Byd,,184
Chile,2025,6,Changan,,979
Chile,2025,6,Chery,,871
Chile,2025,6,Chevrolet,,1383
Chile,2025,6,Citroen,,643
Chile,2025,6,Cupra,,34
Chile,2025,6,Dfm,,239
Chile,2025,6,Dfsk,,240
Chile,2025,6,Dongfeng,,32
Chile,2025,6,Ds,,12
Chile,2025,6,Exeed,,64
Chile,2025,6,Farizon,,5
Chile,2025,6,Fiat,,47
Chile,2025,6,Ford,,1066
Chile,2025,6,Foton,,577
Chile,2025,6,Gac,,172
Chile,2025,6,Geely,,352
Chile,2025,6,Great Wall,,1122
Chile,2025,6,Haval,,131
Chile,2025,6,Honda,,124
Chile,2025,6,Hyundai,,1585
Chile,2025,6,Iveco,,4
Chile,2025,6,Jac,,452
Chile,2025,6,Jaecoo,,77
Chile,2025,6,Jeep,,177
Chile,2025,6,Jetour,,384
Chile,2025,6,Jim,,35
Chile,2025,6,Jmc,,231
Chile,2025,6,Kaiyi,,86
Chile,2025,6,Karry,,37
Chile,2025,6,Kia,,1307
Chile,2025,6,Kyc,,59
Chile,2025,6,Land Rover,,25
Chile,2025,6,Landking,,44
